song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
We Wanna Eat,https://phineasandferb.fandom.com/wiki/We_Wanna_Eat,Delivery of Destiny,Pop,NA,8.2,157,NA,Scott PetersonKazKim Roberson,Robert F. Hughes,2012-04-27,323a,"Paul the Delivery Guy discovers his job has a higher calling to save Danville as he makes stops at Phineas and Ferb's house, Doofenshmirtz Evil, Inc., Danville City Hall and the O.W.C.A, in a special episode seen through his eyes. The rock band, Love Händel, returns for some musical accompaniment. Meanwhile, at Doofenshmirtz Evil Inc., Perry has lost the tools in his hat."
Sliding Down a Tube,https://phineasandferb.fandom.com/wiki/Sliding_Down_a_Tube,Delivery of Destiny,Rock,NA,8.2,157,NA,Scott PetersonKazKim Roberson,Robert F. Hughes,2012-04-27,323a,"Paul the Delivery Guy discovers his job has a higher calling to save Danville as he makes stops at Phineas and Ferb's house, Doofenshmirtz Evil, Inc., Danville City Hall and the O.W.C.A, in a special episode seen through his eyes. The rock band, Love Händel, returns for some musical accompaniment. Meanwhile, at Doofenshmirtz Evil Inc., Perry has lost the tools in his hat."
Paul's Revelation Operetta,https://phineasandferb.fandom.com/wiki/Paul%27s_Revelation_Operetta,Delivery of Destiny,"Ballad, Rock",NA,8.2,157,NA,Scott PetersonKazKim Roberson,Robert F. Hughes,2012-04-27,323a,"Paul the Delivery Guy discovers his job has a higher calling to save Danville as he makes stops at Phineas and Ferb's house, Doofenshmirtz Evil, Inc., Danville City Hall and the O.W.C.A, in a special episode seen through his eyes. The rock band, Love Händel, returns for some musical accompaniment. Meanwhile, at Doofenshmirtz Evil Inc., Perry has lost the tools in his hat."
Alouette,https://phineasandferb.fandom.com/wiki/Alouette,Buford Confidential,Children's Song/Traditional,NA,8.1,101,NA,Jim BernsteinMartin OlsonAntoine GuilbaudKaz,"Jay Lender""Assistant Director:""Sue Perrotto",2012-04-27,325b,"Brigitte, Josette, and Collette, the visiting Fireside Girls from France, help Isabella capture the American Grizzly Bear, one of the world's most dangerous creatures. Buford's plan to jokingly dress up as the bear backfires when he discovers the identity of Brigitte, throwing him off his game. Back at their grandparents' cabin, Phineas and Ferb create the most amazing ""run-through-the-sprinkler"" experience. Meanwhile, Dr. Doofenshmirtz's loathing of pretzels drives him to create the ""De-Twist-Inator"" to untwist every pretzel in Danville."
Home on the Range,https://phineasandferb.fandom.com/wiki/Home_on_the_Range,Buford Confidential,"Ballad, Country",NA,8.1,101,NA,Jim BernsteinMartin OlsonAntoine GuilbaudKaz,"Jay Lender""Assistant Director:""Sue Perrotto",2012-04-27,325b,"Brigitte, Josette, and Collette, the visiting Fireside Girls from France, help Isabella capture the American Grizzly Bear, one of the world's most dangerous creatures. Buford's plan to jokingly dress up as the bear backfires when he discovers the identity of Brigitte, throwing him off his game. Back at their grandparents' cabin, Phineas and Ferb create the most amazing ""run-through-the-sprinkler"" experience. Meanwhile, Dr. Doofenshmirtz's loathing of pretzels drives him to create the ""De-Twist-Inator"" to untwist every pretzel in Danville."
Runnin' from Love (In a Bear Suit),https://phineasandferb.fandom.com/wiki/Runnin%27_from_Love_(In_a_Bear_Suit),Buford Confidential,Rock,1:02,8.1,101,NA,Jim BernsteinMartin OlsonAntoine GuilbaudKaz,"Jay Lender""Assistant Director:""Sue Perrotto",2012-04-27,325b,"Brigitte, Josette, and Collette, the visiting Fireside Girls from France, help Isabella capture the American Grizzly Bear, one of the world's most dangerous creatures. Buford's plan to jokingly dress up as the bear backfires when he discovers the identity of Brigitte, throwing him off his game. Back at their grandparents' cabin, Phineas and Ferb create the most amazing ""run-through-the-sprinkler"" experience. Meanwhile, Dr. Doofenshmirtz's loathing of pretzels drives him to create the ""De-Twist-Inator"" to untwist every pretzel in Danville."
Awesome,https://phineasandferb.fandom.com/wiki/Awesome,The Mom Attractor,Conga,NA,8,134,NA,Martin OlsonAliki Theofilopoulos GrafftJ.G. Orrantia,Robert F. Hughes,2012-05-04,328a,"When the boys ask Candace to decide what they should do for the day, she slyly asks them to invent a device to attract their Mom so that she can finally bust her brothers. Meanwhile, Dr. Doofenshmirtz has invented a ""Baby-Cry-Inator"" designed to tarnish his goodie-two-shoes brother's image with the electorate."
Mallet Song,https://phineasandferb.fandom.com/wiki/Mallet_Song,The Mom Attractor,Show tune,0:10,8,134,NA,Martin OlsonAliki Theofilopoulos GrafftJ.G. Orrantia,Robert F. Hughes,2012-05-04,328a,"When the boys ask Candace to decide what they should do for the day, she slyly asks them to invent a device to attract their Mom so that she can finally bust her brothers. Meanwhile, Dr. Doofenshmirtz has invented a ""Baby-Cry-Inator"" designed to tarnish his goodie-two-shoes brother's image with the electorate."
We Are the Moms,https://phineasandferb.fandom.com/wiki/We_Are_the_Moms,The Mom Attractor,Rock anthem,1:382:16 (album version),8,134,NA,Martin OlsonAliki Theofilopoulos GrafftJ.G. Orrantia,Robert F. Hughes,2012-05-04,328a,"When the boys ask Candace to decide what they should do for the day, she slyly asks them to invent a device to attract their Mom so that she can finally bust her brothers. Meanwhile, Dr. Doofenshmirtz has invented a ""Baby-Cry-Inator"" designed to tarnish his goodie-two-shoes brother's image with the electorate."
Big Brain,https://phineasandferb.fandom.com/wiki/Big_Brain,Cranius Maximus,"Funktronica, soul",1:21,8,134,NA,Scott PetersonBernie PettersonMichael Diederich,"Jay Lender""Assistant Director:""Sue Perrotto",2012-05-04,328b,"When Baljeet becomes concerned that he is losing his mental edge, the boys invent a cerebral stimulatory hat, or ""Brain booster,"" to help him. But when the hat exceeds expectations and makes Baljeet exponentially smarter, he suddenly views everyone else as beneath him and becomes a threat to civilization. Meanwhile, Dr. Doofenshmirtz plans to use his ""Key-Find-Inator"" to collect all the keys in Danville in hopes that it will lead to the Key to the City."
Here's Why It is Great to Be a Baby,https://phineasandferb.fandom.com/wiki/Here%27s_Why_It_is_Great_to_Be_a_Baby,Agent Doof,Southern jazz,1:09,8.1,155,NA,Scott PetersonBernie PettersonMike Diederich,Robert F. Hughes,2012-05-11,322a,"Candace's plans to watch over Phineas and Ferb backfire when Dr. Doofenshmirtz's ""Babe-inator"" turns her brothers into babies. After having an epiphany, Dr. Doofenshmirtz shows up at the O.W.C.A to give up his evil ways. Agent P has no choice but to show Dr. Doofenshmirtz the ropes of the trade, but things quickly sour between the two after Dr. Doofenshmirtz accidentally exposes the identity of a fellow animal agent."
S'Fall,https://phineasandferb.fandom.com/wiki/S%27Fall_(song),Minor Monogram,Blues,0:31,8.1,142,NA,Jim BernsteinJon Colton BarryKyle Menke,Dan Povenmire,2012-05-11,319b,"With Fall around the corner, Phineas and Ferb decide to invent ""S'Fall,"" a colorful world full of giant leaf piles and gourds. Meanwhile, over at Evil Inc., Dr. Doofenshmirtz is mentoring Rodrigo, a budding student of evil. Unfortunately, Rodrigo truly is evil, and when he captures Dr. Doofenshmirtz and Agent P., it’s up to Major Monogram's son, Monty, to save the day."
Horse in a Bookcase,https://phineasandferb.fandom.com/wiki/Horse_in_a_Bookcase,What A Croc!,NA,0:10,NA,NA,NA,Martin OlsonAliki Theofilopoulous GrafftAntoine Guilbaud,Robert F. Hughes,2012-06-01,318a,"When the boys learn that the famous Crikey the Crocodile has gone missing, they set out to find and return him to his home at the Danville Nature Preserve. Meanwhile, to Candace's amazement, Irving reveals his digital scrapbook compilation of all of Phineas and Ferb's wild creations, and guest star Ray Liotta fills in for Major Monogram to give Perry his mission. Also, Dr. Doofenshmirtz plans to embarrass his brother by using his 'Chicken-Replace-inator' to replace Roger's mayoral award with the nearest chicken."
Subterranean Crocodile Apprehension Expedition,https://phineasandferb.fandom.com/wiki/Subterranean_Crocodile_Apprehension_Expedition,What A Croc!,Country rock,1:15,NA,NA,NA,Martin OlsonAliki Theofilopoulous GrafftAntoine Guilbaud,Robert F. Hughes,2012-06-01,318a,"When the boys learn that the famous Crikey the Crocodile has gone missing, they set out to find and return him to his home at the Danville Nature Preserve. Meanwhile, to Candace's amazement, Irving reveals his digital scrapbook compilation of all of Phineas and Ferb's wild creations, and guest star Ray Liotta fills in for Major Monogram to give Perry his mission. Also, Dr. Doofenshmirtz plans to embarrass his brother by using his 'Chicken-Replace-inator' to replace Roger's mayoral award with the nearest chicken."
I'm Unconsciously Creating Truly Evil Inators,https://phineasandferb.fandom.com/wiki/I%27m_Unconsciously_Creating_Truly_Evil_Inators,Sleepwalk Surprise,Show tune,0:09,7.8,128,NA,Scott PetersonKazKim Roberson,Robert F. Hughes,2012-06-08,326a,"Candace's plans to hang out with Jeremy are derailed after he becomes interested in playing Phineas and Ferb's newest game, jet pack volleyball. Meanwhile, when Dr. Doofenshmirtz discovers he invents ""-inators"" in his sleep, he decides to go back into his dreams to find out what is happening."
Jetpack Volleyball,https://phineasandferb.fandom.com/wiki/Jetpack_Volleyball_(song),Backyard Hodge Podge,NA,0:42,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Monogram Rap This Old Man,https://phineasandferb.fandom.com/wiki/Monogram_Rap_This_Old_Man,Sci-Fi Pie Fly,Children's Song,0:22,7.8,128,NA,Jim BernsteinMartin OlsonJohn MathotMike Milo,"Jay Lender""Assistant Director:""Sue Perrotto",2012-06-08,326b,"Phineas and Ferb create their own flying saucer to help solve the mystery of a recent rash of crop circles. Meanwhile, Candace tries to give up her tattling habit by taking a ""me"" day, and across town, Dr. Doofenshmirtz challenges the local pizzeria's ""37 Minutes or it's Free"" rule by using his ""dough-blow-inator"" to generate a powerful current of air to hold the pizza dough aloft indefinitely."
Non-Reaction Song,https://phineasandferb.fandom.com/wiki/Non-Reaction_Song,Sci-Fi Pie Fly,"Synthpop, House",0:37,7.8,128,NA,Jim BernsteinMartin OlsonJohn MathotMike Milo,"Jay Lender""Assistant Director:""Sue Perrotto",2012-06-08,326b,"Phineas and Ferb create their own flying saucer to help solve the mystery of a recent rash of crop circles. Meanwhile, Candace tries to give up her tattling habit by taking a ""me"" day, and across town, Dr. Doofenshmirtz challenges the local pizzeria's ""37 Minutes or it's Free"" rule by using his ""dough-blow-inator"" to generate a powerful current of air to hold the pizza dough aloft indefinitely."
Won't Keep Us Apart,https://phineasandferb.fandom.com/wiki/Won%27t_Keep_Us_Apart,Fly On the Wall,"Ballad, soft pop",1:08,NA,NA,NA,Jim BernsteinAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-01-11,401a,"Buford removes a part from a tire swing the boys are building and it accidentally shoots a ray that turns Candace into a fly. Meanwhile, Doofenshmirtz is suffering from evil scientist’s block."
Swap Meet,https://phineasandferb.fandom.com/wiki/Swap_Meet,Tri-State Treasure: Boot of Secrets,"Country, garage pop",0:47,8.1,143,NA,Jim BernsteinJ.G. OrrantiaMike Milo,"Jay Lender""Assistant Director:""Sue Perrotto",2012-06-22,329b,"Phineas and Ferb are helping their father unearth a missing piece of Danville history when they run into his lifelong nemesis, Worthington Dubois, at a flea market. Meanwhile, Dr. Doofenshmirtz makes himself younger to win a children's film festival, and Candace uses the swap meet to try and get an extremely rare Ducky MoMo item."
He's Major Monogram,https://phineasandferb.fandom.com/wiki/He%27s_Major_Monogram,Tri-State Treasure: Boot of Secrets,A capella Ballad,0:24,8.1,143,NA,Jim BernsteinJ.G. OrrantiaMike Milo,"Jay Lender""Assistant Director:""Sue Perrotto",2012-06-22,329b,"Phineas and Ferb are helping their father unearth a missing piece of Danville history when they run into his lifelong nemesis, Worthington Dubois, at a flea market. Meanwhile, Dr. Doofenshmirtz makes himself younger to win a children's film festival, and Candace uses the swap meet to try and get an extremely rare Ducky MoMo item."
When Platypi Fight,https://phineasandferb.fandom.com/wiki/When_Platypi_Fight,Doofapus,"Heavy metal, power metal",1:08,8.2,140,NA,Scott PetersonAliki Theofilopoulos GrafftJ.G. OrrantiaJohn Mathot,Robert F. Hughes,2012-07-06,330a,"Change is afoot when Candace accidentally liquefies herself by coming in contact with Phineas and Ferb’s device that turns solids into liquids. Meanwhile, Dr. Doofenshmirtz turns himself into a platypus to defeat Perry in battle, but finds it’s harder than he ever imagined."
Weaponry,https://phineasandferb.fandom.com/wiki/Weaponry,Norm Unleashed,March,1:15,8.2,140,NA,Jim BernsteinMartin OlsonBernie PettersonMichael Diederich,"Jay Lender""Assistant Director:""Sue Perrotto",2012-07-20,330b,"Candace finds it difficult to bust Phineas and Ferb when her brothers build nanobots that can assemble into any object they can imagine. Meanwhile, Dr. Doofenshmirtz has jury duty, so Norm takes over the day’s evil scheme -- to destroy Danville by using weapons."
On the Savannah,https://phineasandferb.fandom.com/wiki/On_the_Savannah,Where's Perry?,African Music,1:39,NA,NA,NA,Jim BernsteinMartin OlsonScott PetersonBernie PettersonJ.G. OrrantiaKazKim Roberson,Robert F. Hughes,2012-07-27,332,"The Flynn-Fletchers are off on an African safari, leaving Perry at home to deal with Doofenshmirtz and his most evil plot yet: to take over the O.W.C.A. But when Doofenshmirtz accidentally zaps Carl the intern with his Ultimate-Evil-Inator ray, Carl takes over the O.W.C.A and imprisons Doof and Monogram. Agent P steps in but gets zapped with one of Doof’s many rays and in the cliffhanger of all cliffhangers, disappears."
Highly Unconventional Vehicle,https://phineasandferb.fandom.com/wiki/Highly_Unconventional_Vehicle,Where's Perry?,Rock,1:07,NA,NA,NA,Jim BernsteinMartin OlsonScott PetersonBernie PettersonJ.G. OrrantiaKazKim Roberson,Robert F. Hughes,2012-07-27,332,"The Flynn-Fletchers are off on an African safari, leaving Perry at home to deal with Doofenshmirtz and his most evil plot yet: to take over the O.W.C.A. But when Doofenshmirtz accidentally zaps Carl the intern with his Ultimate-Evil-Inator ray, Carl takes over the O.W.C.A and imprisons Doof and Monogram. Agent P steps in but gets zapped with one of Doof’s many rays and in the cliffhanger of all cliffhangers, disappears."
Evil for Extra Credit,https://phineasandferb.fandom.com/wiki/Evil_for_Extra_Credit,Where's Perry?,Hard Rock,1:50,NA,NA,NA,Jim BernsteinMartin OlsonScott PetersonBernie PettersonJ.G. OrrantiaKazKim Roberson,Robert F. Hughes,2012-07-27,332,"The Flynn-Fletchers are off on an African safari, leaving Perry at home to deal with Doofenshmirtz and his most evil plot yet: to take over the O.W.C.A. But when Doofenshmirtz accidentally zaps Carl the intern with his Ultimate-Evil-Inator ray, Carl takes over the O.W.C.A and imprisons Doof and Monogram. Agent P steps in but gets zapped with one of Doof’s many rays and in the cliffhanger of all cliffhangers, disappears."
Livin' with Monkeys,https://phineasandferb.fandom.com/wiki/Livin%27_with_Monkeys,Where's Perry? (Part Two),NA,1:392:17 (album version),NA,NA,NA,Jim BernsteinMartin OlsonScott PetersonAliki Theofilopoulos GrafftDerek ThompsonEdgar KarapetyanJohn MathotJon Colton BarryKyle Menke,"Jay LenderRobert F. Hughes""Assistant Director:""Sue Perrotto",2012-08-24,333,"Agent P's fate is finally revealed in the action-packed finale of the two-part television special that left Phineas, Ferb and the gang literally hanging off an unchartered gorge and Candace frantic over a phone call with Jeremy that left their relationship status in limbo. Now, with Agent P nowhere in sight, Dr. Doofenshmirtz and Major Monogram square off against evil Carl who controls a set of familiar-looking robots to take over the O.W.C.A, in one of the biggest battles yet."
That's the Norm,https://phineasandferb.fandom.com/wiki/That%27s_the_Norm,Ferb TV,SoundtrackJingle 70s-80s Theme Song,0:24,7.9,149,NA,Scott PetersonChong Suk LeeMike Milo,Robert F. Hughes,2012-09-07,318b,"Phineas and Ferb create a cable called Ferb TV which features many TV shows that parody real shows. Baljeet stars in a show called Doctor Ninja Baljeet, Buford stars in a cooking show called Your Food Stinks and So Do You and Suzy, Jeremy and Norm appear in a sitcom named That's the Norm. Meap stars in a commercial for Meap's Carbonated Goulash. Roger Doofenshmirtz appears in a show called Katt-Karr."
Bicentennial Crab,https://phineasandferb.fandom.com/wiki/Bicentennial_Crab,Ferb TV,Folk,00:03,7.9,149,NA,Scott PetersonChong Suk LeeMike Milo,Robert F. Hughes,2012-09-07,318b,"Phineas and Ferb create a cable called Ferb TV which features many TV shows that parody real shows. Baljeet stars in a show called Doctor Ninja Baljeet, Buford stars in a cooking show called Your Food Stinks and So Do You and Suzy, Jeremy and Norm appear in a sitcom named That's the Norm. Meap stars in a commercial for Meap's Carbonated Goulash. Roger Doofenshmirtz appears in a show called Katt-Karr."
Whalemingo,https://phineasandferb.fandom.com/wiki/Whalemingo,When Worlds Collide,Ballad,1:20,8.2,131,NA,Scott PetersonDerek ThompsonKyle Menke,Robert F. Hughes,2012-09-14,331a,"After discovering that a strange planet is hurtling directly towards Danville, Phineas and Ferb set out to avert a disaster, while Buford looks forward to making contact with its alien race. Meanwhile, Dr. Doofenshmirtz hopes to steal the world's largest ball of twine."
Double Dutch Song,https://phineasandferb.fandom.com/wiki/Double_Dutch_Song,When Worlds Collide,NA,1:14 (complete),8.2,131,NA,Scott PetersonDerek ThompsonKyle Menke,Robert F. Hughes,2012-09-14,331a,"After discovering that a strange planet is hurtling directly towards Danville, Phineas and Ferb set out to avert a disaster, while Buford looks forward to making contact with its alien race. Meanwhile, Dr. Doofenshmirtz hopes to steal the world's largest ball of twine."
Be a Squirrel,https://phineasandferb.fandom.com/wiki/Be_a_Squirrel,What'd I Miss?,Military MarchCabaret,0:53,8,141,NA,Scott PetersonAliki Theofilopoulos GrafftJohn Mathot,Robert F. Hughes,2012-09-28,334b,"Phineas and the gang introduce Ferb and Perry to their newest project - training domesticated squirrels to live in the wild. Meanwhile, Dr. Doofenshmirtz aims to do a better job of seeing through his evil plans now that Agent P is back."
Heck of a Day,https://phineasandferb.fandom.com/wiki/Heck_of_a_Day,Road to Danville,Country/blues rock,1:26,8.2,131,NA,Jim BernsteinJon Colton BarryAntoine GuilbaudKaz,"Jay Lender""Assistant Director:""Sue Perrotto",2012-10-26,331b,"When one of Dr. Doofenshmirtz's ""-inators"" zaps him and Agent P into the middle of nowhere, they must embark on a comical journey filled with twists and turns to return home."
What Is This Thing?,https://phineasandferb.fandom.com/wiki/What_Is_This_Thing%3F,Blackout!,Rock,0:510:49 (album),8,141,NA,Jim BernsteinAntoine GuilbaudKaz,"Jay Lender""Assistant Director:""Sue Perrotto",2012-11-30,334a,Candace is put in charge of Phineas and Ferb just before they seize the opportunity to make the most of Danville's electricity blackout while Dr. Doofenshmirtz tries to use pity to his advantage.
Phineas and Ferb Winter Vacation,https://phineasandferb.fandom.com/wiki/Phineas_and_Ferb_Winter_Vacation,For Your Ice Only,NA,0:57,8.3,166,NA,Scott PetersonJoshua PruettEddie Pittman,"Robert F. Hughes""Assistant Director:""Derek Thompson",2012-12-07,402a,"National Hockey League star Luc Robitaille offers his assistance when Phineas and Ferb take an ice hockey game to the extreme. Meanwhile, Doofenshmirtz build an Abominable-inator to make himself bigger, scarier and hairer."
Hockey Z-9,https://phineasandferb.fandom.com/wiki/Hockey_Z-9_(song),For Your Ice Only,Rock,0:59,8.3,166,NA,Scott PetersonJoshua PruettEddie Pittman,"Robert F. Hughes""Assistant Director:""Derek Thompson",2012-12-07,402a,"National Hockey League star Luc Robitaille offers his assistance when Phineas and Ferb take an ice hockey game to the extreme. Meanwhile, Doofenshmirtz build an Abominable-inator to make himself bigger, scarier and hairer."
Happy New Year,https://phineasandferb.fandom.com/wiki/Happy_New_Year_(song),S'Winter,"Dance, Pop",1:48,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Summer (Where Do We Begin?),https://phineasandferb.fandom.com/wiki/Summer_(Where_Do_We_Begin%3F),Rollercoaster,Sunshine pop,1:572:43 (album),8.2,497,1,"Dan PovenmireJeff ""Swampy"" Marsh",Dan Povenmire,2007-08-17,101a,Phineas and Ferb construct a roller coaster from their backyard out to the whole city for themselves and the neighborhood kids. Perry the Platypus attempts to thwart Dr. Doofenshmirtz's evil plan to halt the Earth's rotation.
Fly On the Wall,https://phineasandferb.fandom.com/wiki/Fly_On_the_Wall_(song),S'Winter,Rock,1:05,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Van Stomm's Rule One,https://phineasandferb.fandom.com/wiki/Van_Stomm%27s_Rule_One,Bully Bust,Doo-wop,0:30,7.8,138,NA,Jim BernsteinBernie PettersonJ.G. Orrantia,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-01-18,403a,"Candace challenges Buford to keep Phineas and Ferb’s invention from disappearing so that she can sweep in and casually bust her brothers. Across town, Doofenshmirtz has had one too many lattes and is experiencing an extra burst of evil energy."
If We Don't Succeed,https://phineasandferb.fandom.com/wiki/If_We_Don%27t_Succeed,Backyard Hodge Podge,March,0:07,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
My Cruisin' Sweet Ride (Opening Version),https://phineasandferb.fandom.com/wiki/My_Cruisin%27_Sweet_Ride_(Opening_Version),Fly On the Wall,Blues,1:10,NA,NA,NA,Jim BernsteinAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-01-11,401a,"Buford removes a part from a tire swing the boys are building and it accidentally shoots a ray that turns Candace into a fly. Meanwhile, Doofenshmirtz is suffering from evil scientist’s block."
My Cruisin' Sweet Ride,https://phineasandferb.fandom.com/wiki/My_Cruisin%27_Sweet_Ride,Backyard Hodge Podge,Doo-wop,1:10,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Kinderlumper,https://phineasandferb.fandom.com/wiki/Kinderlumper,Der Kinderlumper,Jazz,1:18,8,140,NA,Jim BernsteinMichael B. SingletonMichael Diederich,"Robert F. Hughes""Assistant Director:""Derek Thompson",2013-02-15,404a,"The boys create Rutabaga-themed vehicles when Candace is chosen to be Rutabaga princess and gets to start the ""Running of the Chinchillas."" Across town, Doofenshmirtz plans to turn himself into a real live Kinderlumper to scare Roger into relinquishing control of the Tri-State Area over to him."
Handcar,https://phineasandferb.fandom.com/wiki/Handcar,Sidetracked,"Blues, rock",1:33,8.1,159,NA,Dani VetereScott PetersonKazKim RobersonAliki Theofilopoulos GrafftJohn Mathot,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-03-01,406,"Agent P teams up with a former partner, a human agent named Lyla, to stop a hijacked train running along the US/Canadian border. In a past mission, they had a falling out, so Agent P must decide whether or not he can trust Lyla and her unique sense of logic to get them through the mission, defeat Doofenshmirtz and save the train's passengers and Canada's national treasure - a moose named Albert."
New Greenland Anthem,https://phineasandferb.fandom.com/wiki/New_Greenland_Anthem,Sidetracked,Anthem,0:13,8.1,159,NA,Dani VetereScott PetersonKazKim RobersonAliki Theofilopoulos GrafftJohn Mathot,"Robert F. HughesSue Perrotto""Assistant Directors:""Derek ThompsonRussell Calabrese",2013-03-01,406,"Agent P teams up with a former partner, a human agent named Lyla, to stop a hijacked train running along the US/Canadian border. In a past mission, they had a falling out, so Agent P must decide whether or not he can trust Lyla and her unique sense of logic to get them through the mission, defeat Doofenshmirtz and save the train's passengers and Canada's national treasure - a moose named Albert."
Helicopter Fight,https://phineasandferb.fandom.com/wiki/Helicopter_Fight,Fly On the Wall,Rock,1:07,NA,NA,NA,Jim BernsteinAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-01-11,401a,"Buford removes a part from a tire swing the boys are building and it accidentally shoots a ray that turns Candace into a fly. Meanwhile, Doofenshmirtz is suffering from evil scientist’s block."
Improbably Knot,https://phineasandferb.fandom.com/wiki/Improbably_Knot,Primal Perry,Synthpop,0:45,8.2,156,NA,Jim BernsteinMartin OlsonScott PetersonJoshua PruettKyle Menke,"Robert F. Hughes""Assistant Directors:""Derek ThompsonHerb MooreRussell Calabrese",2013-05-17,408,"Perry must escape Liam, an Australian platypus hunter who is out to destroy him, rescue ongoing foe Dr. Doofenshmirtz from the error of his ways and maintain the sanctity of the Danville Botanical Gardens. Meanwhile, Phineas and Ferb create an ""infinite probability generator"" that allows Baljeet to make as many choices as he pleases without being affected by the consequences."
Buford is in Trouble,https://phineasandferb.fandom.com/wiki/Buford_is_in_Trouble,Backyard Hodge Podge,NA,0:42,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Square Dance,https://phineasandferb.fandom.com/wiki/Square_Dance,Mind Share,Country,1:01,8.1,174,NA,Martin OlsonMichael B. SingletonMichael Diederich,"Robert F. Hughes""Assistant Directors:""Derek ThompsonHerb MooreRussell Calabrese",2013-04-05,407b,"The gang switches bodies with alien tourists only to realize they were actually duped by criminals; stranded in the alien prison. Meanwhile, Doofenshmirtz tries to impress a girl named Rosie by making special boots that would make him the perfect square dancer."
Shake Your Body,https://phineasandferb.fandom.com/wiki/Shake_Your_Body,Mind Share,Hip-Hop,0:25,8.1,174,NA,Martin OlsonMichael B. SingletonMichael Diederich,"Robert F. Hughes""Assistant Directors:""Derek ThompsonHerb MooreRussell Calabrese",2013-04-05,407b,"The gang switches bodies with alien tourists only to realize they were actually duped by criminals; stranded in the alien prison. Meanwhile, Doofenshmirtz tries to impress a girl named Rosie by making special boots that would make him the perfect square dancer."
Animal Agents' Birthday Song,https://phineasandferb.fandom.com/wiki/Animal_Agents%27_Birthday_Song,Backyard Hodge Podge,Children's Song,NA,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Backyard Hodge Podge,https://phineasandferb.fandom.com/wiki/Backyard_Hodge_Podge_(song),S'Winter,Pop-rock,0:50,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Pi,https://phineasandferb.fandom.com/wiki/Pi,Backyard Hodge Podge,Show tune,0:12,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
